MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2004,CHEVROLET,K1500 AVALANCHE AWD,PICKUP TRUCK,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,K1500 AVALANCHE AWD FFV,PICKUP TRUCK,5.3,8,A4,X,19.5,14.3,14,20,3432,7894,,,,,,
2004,CHEVROLET,K1500 AVALANCHE AWD FFV,PICKUP TRUCK,5.3,8,A4,E,21.8,16.0,13,18,3838,6141,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.3,6,A4,X,17.3,12.6,16,22,3037,6985,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.3,6,M5,X,17.4,12.0,16,24,2994,6886,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.8,8,A4,X,16.4,12.6,17,22,2938,6757,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.8,8,M5,X,18.2,12.4,16,23,3118,7171,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4 FFV,PICKUP TRUCK,5.3,8,A4,X,19.2,14.1,15,20,3381,7776,,,,,,
2004,CHEVROLET,K1500 SILVERADO 4X4 FFV,PICKUP TRUCK,5.3,8,A4,E,21.8,16.0,13,18,3838,6141,,,,,,
2004,CHEVROLET,K1500 SILVERADO SS AWD,PICKUP TRUCK,6.0,8,A4,X,17.8,13.1,16,22,3137,7215,,,,,,
2004,CHEVROLET,K1500 SUBURBAN 4X4,SPECIAL PURPOSE,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,K1500 SUBURBAN 4X4 FFV,SPECIAL PURPOSE,5.3,8,A4,X,19.5,14.3,14,20,3432,7894,,,,,,
2004,CHEVROLET,K1500 SUBURBAN 4X4 FFV,SPECIAL PURPOSE,5.3,8,A4,E,21.8,16.0,13,18,3838,6141,,,,,,
2004,CHEVROLET,K1500 SUBURBAN AWD,SPECIAL PURPOSE,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,K1500 SUBURBAN AWD FFV,SPECIAL PURPOSE,5.3,8,A4,X,19.5,14.3,14,20,3432,7894,,,,,,
2004,CHEVROLET,K1500 SUBURBAN AWD FFV,SPECIAL PURPOSE,5.3,8,A4,E,21.8,16.0,13,18,3838,6141,,,,,,
